"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"030116","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030117","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030199","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"0301","ettaar","alle","annet","2013","personer","82","intro_status_arbutd"
"030101","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030102","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030103","ettaar","alle","annet","2013","personer","4","intro_status_arbutd"
"030104","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030105","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030106","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030107","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030108","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030109","ettaar","alle","annet","2013","personer","9","intro_status_arbutd"
"030110","ettaar","alle","annet","2013","personer","4","intro_status_arbutd"
"030111","ettaar","alle","annet","2013","personer","8","intro_status_arbutd"
"030112","ettaar","alle","annet","2013","personer","7","intro_status_arbutd"
"030113","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030114","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030115","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"030116","ettaar","alle","annet","2013","personer","0","intro_status_arbutd"
"030117","ettaar","alle","annet","2013","personer","0","intro_status_arbutd"
"030199","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"0301","ettaar","alle","arbutd","2013","prosent","61","intro_status_arbutd"
"030101","ettaar","alle","arbutd","2013","prosent","50","intro_status_arbutd"
"030102","ettaar","alle","arbutd","2013","prosent","73","intro_status_arbutd"
"030103","ettaar","alle","arbutd","2013","prosent","67","intro_status_arbutd"
"030104","ettaar","alle","arbutd","2013","prosent","67","intro_status_arbutd"
"030105","ettaar","alle","arbutd","2013","prosent","64","intro_status_arbutd"
"030106","ettaar","alle","arbutd","2013","prosent",":","intro_status_arbutd"
"030107","ettaar","alle","arbutd","2013","prosent","50","intro_status_arbutd"
"030108","ettaar","alle","arbutd","2013","prosent","64","intro_status_arbutd"
"030109","ettaar","alle","arbutd","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","alle","arbutd","2013","prosent","79","intro_status_arbutd"
"030111","ettaar","alle","arbutd","2013","prosent","54","intro_status_arbutd"
"030112","ettaar","alle","arbutd","2013","prosent","74","intro_status_arbutd"
"030113","ettaar","alle","arbutd","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","alle","arbutd","2013","prosent","65","intro_status_arbutd"
"030115","ettaar","alle","arbutd","2013","prosent","67","intro_status_arbutd"
"030116","ettaar","alle","arbutd","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","alle","arbutd","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","alle","arbutd","2013","prosent",":","intro_status_arbutd"
"0301","ettaar","alle","ledig_tiltak","2013","prosent","9","intro_status_arbutd"
"030101","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030102","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030103","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030104","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030107","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030109","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030111","ettaar","alle","ledig_tiltak","2013","prosent","18","intro_status_arbutd"
"030112","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030113","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030114","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","alle","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","alle","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"0301","ettaar","alle","annet","2013","prosent","30","intro_status_arbutd"
"030101","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030102","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030103","ettaar","alle","annet","2013","prosent","33","intro_status_arbutd"
"030104","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030107","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030109","ettaar","alle","annet","2013","prosent","50","intro_status_arbutd"
"030110","ettaar","alle","annet","2013","prosent","21","intro_status_arbutd"
"030111","ettaar","alle","annet","2013","prosent","29","intro_status_arbutd"
"030112","ettaar","alle","annet","2013","prosent","26","intro_status_arbutd"
"030113","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","alle","annet","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","alle","annet","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","alle","annet","2013","prosent",":","intro_status_arbutd"
"0301","ettaar","1","alle","2013","personer","115","intro_status_arbutd"
"030101","ettaar","1","alle","2013","personer","10","intro_status_arbutd"
"030102","ettaar","1","alle","2013","personer","17","intro_status_arbutd"
"030103","ettaar","1","alle","2013","personer",":","intro_status_arbutd"
"030104","ettaar","1","alle","2013","personer","7","intro_status_arbutd"
"030105","ettaar","1","alle","2013","personer","5","intro_status_arbutd"
"030106","ettaar","1","alle","2013","personer","6","intro_status_arbutd"
"030107","ettaar","1","alle","2013","personer","6","intro_status_arbutd"
"030108","ettaar","1","alle","2013","personer","6","intro_status_arbutd"
"030109","ettaar","1","alle","2013","personer",":","intro_status_arbutd"
"030110","ettaar","1","alle","2013","personer","5","intro_status_arbutd"
"030111","ettaar","1","alle","2013","personer","9","intro_status_arbutd"
"030112","ettaar","1","alle","2013","personer","12","intro_status_arbutd"
"030113","ettaar","1","alle","2013","personer",":","intro_status_arbutd"
"030114","ettaar","1","alle","2013","personer","8","intro_status_arbutd"
"030115","ettaar","1","alle","2013","personer","11","intro_status_arbutd"
"030116","ettaar","1","alle","2013","personer","0","intro_status_arbutd"
"030117","ettaar","1","alle","2013","personer","0","intro_status_arbutd"
"030199","ettaar","1","alle","2013","personer","4","intro_status_arbutd"
"0301","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030101","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030102","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030103","ettaar","1","alle","2013","prosent",":","intro_status_arbutd"
"030104","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030105","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030106","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030107","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030108","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030109","ettaar","1","alle","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030111","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030112","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030113","ettaar","1","alle","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030115","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"030116","ettaar","1","alle","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","1","alle","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","1","alle","2013","prosent","100","intro_status_arbutd"
"0301","ettaar","1","arbutd","2013","personer","86","intro_status_arbutd"
"030101","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030102","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030103","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030104","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030105","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030106","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030107","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030108","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030109","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030110","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030111","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030112","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030113","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030114","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030115","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"030116","ettaar","1","arbutd","2013","personer","0","intro_status_arbutd"
"030117","ettaar","1","arbutd","2013","personer","0","intro_status_arbutd"
"030199","ettaar","1","arbutd","2013","personer",":","intro_status_arbutd"
"0301","ettaar","1","ledig_tiltak","2013","personer","9","intro_status_arbutd"
"030101","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030102","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030103","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030104","ettaar","1","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030105","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030106","ettaar","1","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030107","ettaar","1","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030108","ettaar","1","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030109","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030110","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030111","ettaar","1","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030112","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030113","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030114","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030115","ettaar","1","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030116","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030117","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030199","ettaar","1","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"0301","ettaar","1","annet","2013","personer","20","intro_status_arbutd"
"030101","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030102","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030103","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030104","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030105","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030106","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030107","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030108","ettaar","1","annet","2013","personer","0","intro_status_arbutd"
"030109","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030110","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030111","ettaar","1","annet","2013","personer","0","intro_status_arbutd"
"030112","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030113","ettaar","1","annet","2013","personer","0","intro_status_arbutd"
"030114","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030115","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"030116","ettaar","1","annet","2013","personer","0","intro_status_arbutd"
"030117","ettaar","1","annet","2013","personer","0","intro_status_arbutd"
"030199","ettaar","1","annet","2013","personer",":","intro_status_arbutd"
"0301","ettaar","1","arbutd","2013","prosent","75","intro_status_arbutd"
"030101","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030102","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030103","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030104","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030107","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030109","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030111","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030112","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030113","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","1","arbutd","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","1","arbutd","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"0301","ettaar","1","ledig_tiltak","2013","prosent","8","intro_status_arbutd"
"030101","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030102","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030103","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030104","ettaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030106","ettaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030107","ettaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030109","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030110","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030111","ettaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030112","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030113","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030114","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030115","ettaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"0301","ettaar","1","annet","2013","prosent","17","intro_status_arbutd"
"030101","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030102","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030103","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030104","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030107","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030109","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030111","ettaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030112","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030113","ettaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030114","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","1","annet","2013","prosent",":","intro_status_arbutd"
"0301","ettaar","0","alle","2013","personer","155","intro_status_arbutd"
"030101","ettaar","0","alle","2013","personer","14","intro_status_arbutd"
"030102","ettaar","0","alle","2013","personer","13","intro_status_arbutd"
"030103","ettaar","0","alle","2013","personer",":","intro_status_arbutd"
"030104","ettaar","0","alle","2013","personer","8","intro_status_arbutd"
"030105","ettaar","0","alle","2013","personer","6","intro_status_arbutd"
"030106","ettaar","0","alle","2013","personer","4","intro_status_arbutd"
"030107","ettaar","0","alle","2013","personer","6","intro_status_arbutd"
"030108","ettaar","0","alle","2013","personer","5","intro_status_arbutd"
"030109","ettaar","0","alle","2013","personer",":","intro_status_arbutd"
"030110","ettaar","0","alle","2013","personer","14","intro_status_arbutd"
"030111","ettaar","0","alle","2013","personer","19","intro_status_arbutd"
"030112","ettaar","0","alle","2013","personer","15","intro_status_arbutd"
"030113","ettaar","0","alle","2013","personer",":","intro_status_arbutd"
"030114","ettaar","0","alle","2013","personer","9","intro_status_arbutd"
"030115","ettaar","0","alle","2013","personer","7","intro_status_arbutd"
"030116","ettaar","0","alle","2013","personer","0","intro_status_arbutd"
"030117","ettaar","0","alle","2013","personer","0","intro_status_arbutd"
"030199","ettaar","0","alle","2013","personer","4","intro_status_arbutd"
"0301","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030101","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030102","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030103","ettaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030104","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030105","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030106","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030107","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030108","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030109","ettaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030111","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030112","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030113","ettaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030115","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030116","ettaar","0","alle","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","0","alle","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","0","alle","2013","prosent","100","intro_status_arbutd"
"0301","ettaar","0","arbutd","2013","personer","78","intro_status_arbutd"
"030101","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030102","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030103","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030104","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030105","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030106","ettaar","0","arbutd","2013","personer","0","intro_status_arbutd"
"030107","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030108","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030109","ettaar","0","arbutd","2013","personer","6","intro_status_arbutd"
"030110","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030111","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030112","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030113","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030114","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030115","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030116","ettaar","0","arbutd","2013","personer","0","intro_status_arbutd"
"030117","ettaar","0","arbutd","2013","personer","0","intro_status_arbutd"
"030199","ettaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"0301","ettaar","0","ledig_tiltak","2013","personer","15","intro_status_arbutd"
"030101","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030102","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030103","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030104","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030105","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030106","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030107","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030108","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030109","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030110","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030111","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030112","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030113","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030114","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030115","ettaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030116","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030117","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030199","ettaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"0301","ettaar","0","annet","2013","personer","62","intro_status_arbutd"
"030101","ettaar","0","annet","2013","personer","7","intro_status_arbutd"
"030102","ettaar","0","annet","2013","personer","6","intro_status_arbutd"
"030103","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030104","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030105","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030106","ettaar","0","annet","2013","personer","4","intro_status_arbutd"
"030107","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030108","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030109","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030110","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030111","ettaar","0","annet","2013","personer","8","intro_status_arbutd"
"030112","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030113","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030114","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"030115","ettaar","0","annet","2013","personer","0","intro_status_arbutd"
"030116","ettaar","0","annet","2013","personer","0","intro_status_arbutd"
"030117","ettaar","0","annet","2013","personer","0","intro_status_arbutd"
"030199","ettaar","0","annet","2013","personer",":","intro_status_arbutd"
"0301","ettaar","0","arbutd","2013","prosent","50","intro_status_arbutd"
"030101","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030102","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030103","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030104","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","0","arbutd","2013","prosent","0","intro_status_arbutd"
"030107","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030109","ettaar","0","arbutd","2013","prosent","40","intro_status_arbutd"
"030110","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030111","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030112","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030113","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","0","arbutd","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","0","arbutd","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"0301","ettaar","0","ledig_tiltak","2013","prosent","10","intro_status_arbutd"
"030101","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030102","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030103","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030104","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030107","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030108","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030109","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030111","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030112","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030113","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030114","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030116","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"0301","ettaar","0","annet","2013","prosent","40","intro_status_arbutd"
"030101","ettaar","0","annet","2013","prosent","50","intro_status_arbutd"
"030102","ettaar","0","annet","2013","prosent","46","intro_status_arbutd"
"030103","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030104","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030105","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030106","ettaar","0","annet","2013","prosent","100","intro_status_arbutd"
"030107","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030108","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030109","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030110","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030111","ettaar","0","annet","2013","prosent","42","intro_status_arbutd"
"030112","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030113","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030114","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030115","ettaar","0","annet","2013","prosent","0","intro_status_arbutd"
"030116","ettaar","0","annet","2013","prosent","0","intro_status_arbutd"
"030117","ettaar","0","annet","2013","prosent","0","intro_status_arbutd"
"030199","ettaar","0","annet","2013","prosent",":","intro_status_arbutd"
"0301","ettaar","alle","alle","2012","personer","270","intro_status_arbutd"
"030101","ettaar","alle","alle","2012","personer","29","intro_status_arbutd"
"030102","ettaar","alle","alle","2012","personer","23","intro_status_arbutd"
"030103","ettaar","alle","alle","2012","personer","17","intro_status_arbutd"
"030104","ettaar","alle","alle","2012","personer","8","intro_status_arbutd"
"030105","ettaar","alle","alle","2012","personer","18","intro_status_arbutd"
"030106","ettaar","alle","alle","2012","personer","14","intro_status_arbutd"
