"fylke_nr,""barnikommune"",""bhgalder"",""enhet"",""tabellvariabel"",""aar"",""tabell_navn"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9254"",2014,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4186"",2014,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""314571"",2014,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16219"",2014,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38018"",2014,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42409"",2014,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""9910"",2014,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9498"",2014,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""15973"",2014,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13592"",2014,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9245"",2014,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7067"",2014,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11846"",2014,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32987"",2014,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32513"",2014,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6307"",2014,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15479"",2014,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18773"",2014,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""7994"",2014,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13301"",2014,""barnehagedeltakelse"""
