tabell_navn;aar;naringsregion_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;01;476;alle;person;.;
befolkning_opprinnelsesland;2015;01;478;alle;person;:;
befolkning_opprinnelsesland;2015;01;480;alle;person;:;
befolkning_opprinnelsesland;2015;01;484;alle;person;18;
befolkning_opprinnelsesland;2015;01;488;alle;person;:;
befolkning_opprinnelsesland;2015;01;492;alle;person;5;
befolkning_opprinnelsesland;2015;01;496;alle;person;:;
befolkning_opprinnelsesland;2015;01;500;alle;person;:;
befolkning_opprinnelsesland;2015;01;502;alle;person;.;
befolkning_opprinnelsesland;2015;01;504;alle;person;.;
befolkning_opprinnelsesland;2015;01;508;alle;person;6;
befolkning_opprinnelsesland;2015;01;510;alle;person;:;
befolkning_opprinnelsesland;2015;01;512;alle;person;.;
befolkning_opprinnelsesland;2015;01;513;alle;person;.;
befolkning_opprinnelsesland;2015;01;516;alle;person;.;
befolkning_opprinnelsesland;2015;01;520;alle;person;.;
befolkning_opprinnelsesland;2015;01;524;alle;person;12;
befolkning_opprinnelsesland;2015;01;528;alle;person;4;
befolkning_opprinnelsesland;2015;01;534;alle;person;32;
befolkning_opprinnelsesland;2015;01;537;alle;person;.;
befolkning_opprinnelsesland;2015;01;540;alle;person;.;
befolkning_opprinnelsesland;2015;01;544;alle;person;.;
befolkning_opprinnelsesland;2015;01;548;alle;person;.;
befolkning_opprinnelsesland;2015;01;550;alle;person;:;
befolkning_opprinnelsesland;2015;01;552;alle;person;7;
befolkning_opprinnelsesland;2015;01;554;alle;person;:;
befolkning_opprinnelsesland;2015;01;564;alle;person;22;
befolkning_opprinnelsesland;2015;01;568;alle;person;73;
befolkning_opprinnelsesland;2015;01;575;alle;person;47;
befolkning_opprinnelsesland;2015;01;578;alle;person;.;
befolkning_opprinnelsesland;2015;01;601;alle;person;.;
befolkning_opprinnelsesland;2015;01;602;alle;person;.;
befolkning_opprinnelsesland;2015;01;603;alle;person;.;
befolkning_opprinnelsesland;2015;01;604;alle;person;.;
befolkning_opprinnelsesland;2015;01;605;alle;person;.;
befolkning_opprinnelsesland;2015;01;606;alle;person;.;
befolkning_opprinnelsesland;2015;01;608;alle;person;.;
befolkning_opprinnelsesland;2015;01;612;alle;person;6;
befolkning_opprinnelsesland;2015;01;613;alle;person;.;
befolkning_opprinnelsesland;2015;01;616;alle;person;.;
befolkning_opprinnelsesland;2015;01;620;alle;person;:;
befolkning_opprinnelsesland;2015;01;622;alle;person;.;
befolkning_opprinnelsesland;2015;01;624;alle;person;.;
befolkning_opprinnelsesland;2015;01;629;alle;person;.;
befolkning_opprinnelsesland;2015;01;631;alle;person;.;
befolkning_opprinnelsesland;2015;01;632;alle;person;.;
befolkning_opprinnelsesland;2015;01;636;alle;person;.;
befolkning_opprinnelsesland;2015;01;644;alle;person;.;
befolkning_opprinnelsesland;2015;01;648;alle;person;:;
befolkning_opprinnelsesland;2015;01;650;alle;person;.;
befolkning_opprinnelsesland;2015;01;652;alle;person;:;
befolkning_opprinnelsesland;2015;01;654;alle;person;.;
befolkning_opprinnelsesland;2015;01;657;alle;person;.;
befolkning_opprinnelsesland;2015;01;658;alle;person;.;
befolkning_opprinnelsesland;2015;01;659;alle;person;.;
befolkning_opprinnelsesland;2015;01;660;alle;person;.;
befolkning_opprinnelsesland;2015;01;661;alle;person;.;
befolkning_opprinnelsesland;2015;01;664;alle;person;:;
befolkning_opprinnelsesland;2015;01;668;alle;person;.;
befolkning_opprinnelsesland;2015;01;672;alle;person;.;
befolkning_opprinnelsesland;2015;01;676;alle;person;.;
befolkning_opprinnelsesland;2015;01;677;alle;person;.;
befolkning_opprinnelsesland;2015;01;678;alle;person;.;
befolkning_opprinnelsesland;2015;01;679;alle;person;.;
befolkning_opprinnelsesland;2015;01;680;alle;person;:;
befolkning_opprinnelsesland;2015;01;681;alle;person;.;
befolkning_opprinnelsesland;2015;01;684;alle;person;21;
befolkning_opprinnelsesland;2015;01;685;alle;person;.;
befolkning_opprinnelsesland;2015;01;686;alle;person;.;
befolkning_opprinnelsesland;2015;01;687;alle;person;.;
befolkning_opprinnelsesland;2015;01;705;alle;person;:;
befolkning_opprinnelsesland;2015;01;710;alle;person;:;
befolkning_opprinnelsesland;2015;01;715;alle;person;9;
befolkning_opprinnelsesland;2015;01;720;alle;person;.;
befolkning_opprinnelsesland;2015;01;725;alle;person;10;
befolkning_opprinnelsesland;2015;01;730;alle;person;7;
befolkning_opprinnelsesland;2015;01;735;alle;person;.;
befolkning_opprinnelsesland;2015;01;740;alle;person;.;
befolkning_opprinnelsesland;2015;01;745;alle;person;.;
befolkning_opprinnelsesland;2015;01;755;alle;person;.;
befolkning_opprinnelsesland;2015;01;760;alle;person;:;
befolkning_opprinnelsesland;2015;01;765;alle;person;.;
befolkning_opprinnelsesland;2015;01;770;alle;person;:;
befolkning_opprinnelsesland;2015;01;775;alle;person;:;
befolkning_opprinnelsesland;2015;01;802;alle;person;.;
befolkning_opprinnelsesland;2015;01;805;alle;person;:;
befolkning_opprinnelsesland;2015;01;806;alle;person;.;
befolkning_opprinnelsesland;2015;01;807;alle;person;.;
befolkning_opprinnelsesland;2015;01;808;alle;person;.;
befolkning_opprinnelsesland;2015;01;809;alle;person;.;
befolkning_opprinnelsesland;2015;01;811;alle;person;.;
befolkning_opprinnelsesland;2015;01;812;alle;person;.;
befolkning_opprinnelsesland;2015;01;813;alle;person;.;
befolkning_opprinnelsesland;2015;01;814;alle;person;.;
befolkning_opprinnelsesland;2015;01;815;alle;person;.;
befolkning_opprinnelsesland;2015;01;816;alle;person;.;
befolkning_opprinnelsesland;2015;01;817;alle;person;.;
befolkning_opprinnelsesland;2015;01;818;alle;person;.;
befolkning_opprinnelsesland;2015;01;819;alle;person;.;
befolkning_opprinnelsesland;2015;01;820;alle;person;:;
befolkning_opprinnelsesland;2015;01;821;alle;person;.;
befolkning_opprinnelsesland;2015;01;822;alle;person;.;
befolkning_opprinnelsesland;2015;01;826;alle;person;.;
befolkning_opprinnelsesland;2015;01;827;alle;person;.;
befolkning_opprinnelsesland;2015;01;828;alle;person;.;
befolkning_opprinnelsesland;2015;01;829;alle;person;.;
befolkning_opprinnelsesland;2015;01;830;alle;person;.;
befolkning_opprinnelsesland;2015;01;832;alle;person;.;
befolkning_opprinnelsesland;2015;01;833;alle;person;.;
befolkning_opprinnelsesland;2015;01;835;alle;person;.;
befolkning_opprinnelsesland;2015;01;839;alle;person;.;
befolkning_opprinnelsesland;2015;01;840;alle;person;.;
befolkning_opprinnelsesland;2015;01;970;alle;person;64;
befolkning_opprinnelsesland;2015;01;980;alle;person;.;
befolkning_opprinnelsesland;2015;01;990;alle;person;.;
befolkning_opprinnelsesland;2015;02;101;alle;person;241;
befolkning_opprinnelsesland;2015;02;102;alle;person;.;
befolkning_opprinnelsesland;2015;02;103;alle;person;44;
befolkning_opprinnelsesland;2015;02;104;alle;person;:;
befolkning_opprinnelsesland;2015;02;105;alle;person;90;
befolkning_opprinnelsesland;2015;02;106;alle;person;425;
befolkning_opprinnelsesland;2015;02;111;alle;person;13;
befolkning_opprinnelsesland;2015;02;112;alle;person;7;
befolkning_opprinnelsesland;2015;02;113;alle;person;28;
befolkning_opprinnelsesland;2015;02;114;alle;person;.;
befolkning_opprinnelsesland;2015;02;115;alle;person;70;
befolkning_opprinnelsesland;2015;02;117;alle;person;21;
befolkning_opprinnelsesland;2015;02;118;alle;person;.;
befolkning_opprinnelsesland;2015;02;119;alle;person;15;
befolkning_opprinnelsesland;2015;02;120;alle;person;20;
befolkning_opprinnelsesland;2015;02;121;alle;person;:;
befolkning_opprinnelsesland;2015;02;122;alle;person;103;
befolkning_opprinnelsesland;2015;02;123;alle;person;14;
befolkning_opprinnelsesland;2015;02;124;alle;person;130;
befolkning_opprinnelsesland;2015;02;126;alle;person;.;
befolkning_opprinnelsesland;2015;02;127;alle;person;95;
befolkning_opprinnelsesland;2015;02;128;alle;person;:;
befolkning_opprinnelsesland;2015;02;129;alle;person;.;
befolkning_opprinnelsesland;2015;02;130;alle;person;.;
befolkning_opprinnelsesland;2015;02;131;alle;person;1232;
befolkning_opprinnelsesland;2015;02;132;alle;person;14;
befolkning_opprinnelsesland;2015;02;133;alle;person;102;
befolkning_opprinnelsesland;2015;02;134;alle;person;.;
befolkning_opprinnelsesland;2015;02;136;alle;person;634;
befolkning_opprinnelsesland;2015;02;137;alle;person;44;
befolkning_opprinnelsesland;2015;02;138;alle;person;:;
befolkning_opprinnelsesland;2015;02;139;alle;person;64;
befolkning_opprinnelsesland;2015;02;140;alle;person;130;
befolkning_opprinnelsesland;2015;02;141;alle;person;17;
befolkning_opprinnelsesland;2015;02;143;alle;person;61;
befolkning_opprinnelsesland;2015;02;144;alle;person;181;
befolkning_opprinnelsesland;2015;02;146;alle;person;16;
befolkning_opprinnelsesland;2015;02;148;alle;person;41;
befolkning_opprinnelsesland;2015;02;152;alle;person;24;
befolkning_opprinnelsesland;2015;02;153;alle;person;14;
befolkning_opprinnelsesland;2015;02;154;alle;person;.;
befolkning_opprinnelsesland;2015;02;155;alle;person;310;
befolkning_opprinnelsesland;2015;02;156;alle;person;45;
befolkning_opprinnelsesland;2015;02;157;alle;person;65;
befolkning_opprinnelsesland;2015;02;158;alle;person;22;
befolkning_opprinnelsesland;2015;02;159;alle;person;116;
befolkning_opprinnelsesland;2015;02;160;alle;person;:;
befolkning_opprinnelsesland;2015;02;161;alle;person;235;
befolkning_opprinnelsesland;2015;02;162;alle;person;.;
befolkning_opprinnelsesland;2015;02;163;alle;person;.;
befolkning_opprinnelsesland;2015;02;164;alle;person;.;
befolkning_opprinnelsesland;2015;02;203;alle;person;13;
befolkning_opprinnelsesland;2015;02;204;alle;person;5;
befolkning_opprinnelsesland;2015;02;205;alle;person;.;
befolkning_opprinnelsesland;2015;02;209;alle;person;.;
befolkning_opprinnelsesland;2015;02;213;alle;person;.;
befolkning_opprinnelsesland;2015;02;216;alle;person;14;
befolkning_opprinnelsesland;2015;02;220;alle;person;.;
befolkning_opprinnelsesland;2015;02;229;alle;person;.;
befolkning_opprinnelsesland;2015;02;235;alle;person;.;
befolkning_opprinnelsesland;2015;02;239;alle;person;:;
befolkning_opprinnelsesland;2015;02;241;alle;person;115;
befolkning_opprinnelsesland;2015;02;246;alle;person;24;
befolkning_opprinnelsesland;2015;02;249;alle;person;8;
befolkning_opprinnelsesland;2015;02;250;alle;person;.;
befolkning_opprinnelsesland;2015;02;254;alle;person;.;
befolkning_opprinnelsesland;2015;02;256;alle;person;4;
befolkning_opprinnelsesland;2015;02;260;alle;person;7;
befolkning_opprinnelsesland;2015;02;264;alle;person;:;
befolkning_opprinnelsesland;2015;02;266;alle;person;:;
befolkning_opprinnelsesland;2015;02;270;alle;person;9;
befolkning_opprinnelsesland;2015;02;273;alle;person;11;
befolkning_opprinnelsesland;2015;02;276;alle;person;17;
befolkning_opprinnelsesland;2015;02;278;alle;person;:;
befolkning_opprinnelsesland;2015;02;279;alle;person;30;
befolkning_opprinnelsesland;2015;02;281;alle;person;.;
befolkning_opprinnelsesland;2015;02;283;alle;person;8;
befolkning_opprinnelsesland;2015;02;286;alle;person;5;
befolkning_opprinnelsesland;2015;02;289;alle;person;:;
befolkning_opprinnelsesland;2015;02;296;alle;person;:;
befolkning_opprinnelsesland;2015;02;299;alle;person;.;
befolkning_opprinnelsesland;2015;02;303;alle;person;25;
befolkning_opprinnelsesland;2015;02;304;alle;person;.;
befolkning_opprinnelsesland;2015;02;306;alle;person;:;
befolkning_opprinnelsesland;2015;02;307;alle;person;:;
befolkning_opprinnelsesland;2015;02;308;alle;person;:;
befolkning_opprinnelsesland;2015;02;309;alle;person;.;
befolkning_opprinnelsesland;2015;02;313;alle;person;16;
befolkning_opprinnelsesland;2015;02;319;alle;person;.;
befolkning_opprinnelsesland;2015;02;322;alle;person;.;
befolkning_opprinnelsesland;2015;02;323;alle;person;.;
befolkning_opprinnelsesland;2015;02;326;alle;person;:;
befolkning_opprinnelsesland;2015;02;329;alle;person;4;
befolkning_opprinnelsesland;2015;02;333;alle;person;.;
befolkning_opprinnelsesland;2015;02;336;alle;person;.;
befolkning_opprinnelsesland;2015;02;337;alle;person;.;
befolkning_opprinnelsesland;2015;02;338;alle;person;.;
befolkning_opprinnelsesland;2015;02;339;alle;person;5;
befolkning_opprinnelsesland;2015;02;346;alle;person;202;
befolkning_opprinnelsesland;2015;02;355;alle;person;:;
befolkning_opprinnelsesland;2015;02;356;alle;person;13;
befolkning_opprinnelsesland;2015;02;357;alle;person;.;
befolkning_opprinnelsesland;2015;02;359;alle;person;6;
befolkning_opprinnelsesland;2015;02;369;alle;person;5;
befolkning_opprinnelsesland;2015;02;373;alle;person;.;
befolkning_opprinnelsesland;2015;02;376;alle;person;.;
befolkning_opprinnelsesland;2015;02;379;alle;person;7;
befolkning_opprinnelsesland;2015;02;386;alle;person;:;
befolkning_opprinnelsesland;2015;02;389;alle;person;:;
befolkning_opprinnelsesland;2015;02;393;alle;person;.;
befolkning_opprinnelsesland;2015;02;404;alle;person;85;
befolkning_opprinnelsesland;2015;02;406;alle;person;:;
befolkning_opprinnelsesland;2015;02;407;alle;person;.;
befolkning_opprinnelsesland;2015;02;409;alle;person;.;
befolkning_opprinnelsesland;2015;02;410;alle;person;:;
befolkning_opprinnelsesland;2015;02;412;alle;person;.;
befolkning_opprinnelsesland;2015;02;416;alle;person;.;
befolkning_opprinnelsesland;2015;02;420;alle;person;71;
befolkning_opprinnelsesland;2015;02;424;alle;person;16;
befolkning_opprinnelsesland;2015;02;426;alle;person;.;
befolkning_opprinnelsesland;2015;02;428;alle;person;223;
befolkning_opprinnelsesland;2015;02;430;alle;person;4;
befolkning_opprinnelsesland;2015;02;432;alle;person;:;
befolkning_opprinnelsesland;2015;02;436;alle;person;:;
befolkning_opprinnelsesland;2015;02;444;alle;person;33;
befolkning_opprinnelsesland;2015;02;448;alle;person;8;
befolkning_opprinnelsesland;2015;02;452;alle;person;448;
befolkning_opprinnelsesland;2015;02;456;alle;person;137;
befolkning_opprinnelsesland;2015;02;460;alle;person;4;
befolkning_opprinnelsesland;2015;02;464;alle;person;5;
befolkning_opprinnelsesland;2015;02;476;alle;person;8;
befolkning_opprinnelsesland;2015;02;478;alle;person;:;
befolkning_opprinnelsesland;2015;02;480;alle;person;10;
befolkning_opprinnelsesland;2015;02;484;alle;person;60;
befolkning_opprinnelsesland;2015;02;488;alle;person;:;
befolkning_opprinnelsesland;2015;02;492;alle;person;:;
befolkning_opprinnelsesland;2015;02;496;alle;person;10;
befolkning_opprinnelsesland;2015;02;500;alle;person;:;
befolkning_opprinnelsesland;2015;02;502;alle;person;.;
befolkning_opprinnelsesland;2015;02;504;alle;person;:;
befolkning_opprinnelsesland;2015;02;508;alle;person;18;
befolkning_opprinnelsesland;2015;02;510;alle;person;.;
befolkning_opprinnelsesland;2015;02;512;alle;person;:;
befolkning_opprinnelsesland;2015;02;513;alle;person;.;
befolkning_opprinnelsesland;2015;02;516;alle;person;:;
befolkning_opprinnelsesland;2015;02;520;alle;person;.;
befolkning_opprinnelsesland;2015;02;524;alle;person;:;
befolkning_opprinnelsesland;2015;02;528;alle;person;:;
befolkning_opprinnelsesland;2015;02;534;alle;person;96;
befolkning_opprinnelsesland;2015;02;537;alle;person;.;
befolkning_opprinnelsesland;2015;02;540;alle;person;.;
befolkning_opprinnelsesland;2015;02;544;alle;person;:;
befolkning_opprinnelsesland;2015;02;548;alle;person;:;
befolkning_opprinnelsesland;2015;02;550;alle;person;.;
befolkning_opprinnelsesland;2015;02;552;alle;person;.;
befolkning_opprinnelsesland;2015;02;554;alle;person;:;
befolkning_opprinnelsesland;2015;02;564;alle;person;93;
befolkning_opprinnelsesland;2015;02;568;alle;person;225;
befolkning_opprinnelsesland;2015;02;575;alle;person;194;
befolkning_opprinnelsesland;2015;02;578;alle;person;:;
befolkning_opprinnelsesland;2015;02;601;alle;person;.;
befolkning_opprinnelsesland;2015;02;602;alle;person;.;
befolkning_opprinnelsesland;2015;02;603;alle;person;.;
befolkning_opprinnelsesland;2015;02;604;alle;person;.;
befolkning_opprinnelsesland;2015;02;605;alle;person;.;
befolkning_opprinnelsesland;2015;02;606;alle;person;.;
befolkning_opprinnelsesland;2015;02;608;alle;person;.;
befolkning_opprinnelsesland;2015;02;612;alle;person;10;
befolkning_opprinnelsesland;2015;02;613;alle;person;.;
befolkning_opprinnelsesland;2015;02;616;alle;person;:;
befolkning_opprinnelsesland;2015;02;620;alle;person;:;
befolkning_opprinnelsesland;2015;02;622;alle;person;.;
befolkning_opprinnelsesland;2015;02;624;alle;person;11;
befolkning_opprinnelsesland;2015;02;629;alle;person;.;
befolkning_opprinnelsesland;2015;02;631;alle;person;.;
befolkning_opprinnelsesland;2015;02;632;alle;person;:;
befolkning_opprinnelsesland;2015;02;636;alle;person;.;
befolkning_opprinnelsesland;2015;02;644;alle;person;:;
befolkning_opprinnelsesland;2015;02;648;alle;person;:;
befolkning_opprinnelsesland;2015;02;650;alle;person;.;
befolkning_opprinnelsesland;2015;02;652;alle;person;6;
befolkning_opprinnelsesland;2015;02;654;alle;person;.;
befolkning_opprinnelsesland;2015;02;657;alle;person;.;
befolkning_opprinnelsesland;2015;02;658;alle;person;.;
befolkning_opprinnelsesland;2015;02;659;alle;person;.;
befolkning_opprinnelsesland;2015;02;660;alle;person;.;
befolkning_opprinnelsesland;2015;02;661;alle;person;.;
befolkning_opprinnelsesland;2015;02;664;alle;person;4;
befolkning_opprinnelsesland;2015;02;668;alle;person;:;
befolkning_opprinnelsesland;2015;02;672;alle;person;.;
befolkning_opprinnelsesland;2015;02;676;alle;person;.;
befolkning_opprinnelsesland;2015;02;677;alle;person;.;
befolkning_opprinnelsesland;2015;02;678;alle;person;:;
befolkning_opprinnelsesland;2015;02;679;alle;person;.;
befolkning_opprinnelsesland;2015;02;680;alle;person;:;
befolkning_opprinnelsesland;2015;02;681;alle;person;.;
befolkning_opprinnelsesland;2015;02;684;alle;person;49;
befolkning_opprinnelsesland;2015;02;685;alle;person;.;
befolkning_opprinnelsesland;2015;02;686;alle;person;.;
befolkning_opprinnelsesland;2015;02;687;alle;person;.;
befolkning_opprinnelsesland;2015;02;705;alle;person;8;
befolkning_opprinnelsesland;2015;02;710;alle;person;:;
befolkning_opprinnelsesland;2015;02;715;alle;person;22;
befolkning_opprinnelsesland;2015;02;720;alle;person;:;
befolkning_opprinnelsesland;2015;02;725;alle;person;48;
befolkning_opprinnelsesland;2015;02;730;alle;person;12;
befolkning_opprinnelsesland;2015;02;735;alle;person;9;
befolkning_opprinnelsesland;2015;02;740;alle;person;.;
befolkning_opprinnelsesland;2015;02;745;alle;person;.;
befolkning_opprinnelsesland;2015;02;755;alle;person;:;
befolkning_opprinnelsesland;2015;02;760;alle;person;6;
befolkning_opprinnelsesland;2015;02;765;alle;person;:;
befolkning_opprinnelsesland;2015;02;770;alle;person;:;
befolkning_opprinnelsesland;2015;02;775;alle;person;:;
befolkning_opprinnelsesland;2015;02;802;alle;person;.;
befolkning_opprinnelsesland;2015;02;805;alle;person;7;
befolkning_opprinnelsesland;2015;02;806;alle;person;.;
befolkning_opprinnelsesland;2015;02;807;alle;person;.;
befolkning_opprinnelsesland;2015;02;808;alle;person;.;
befolkning_opprinnelsesland;2015;02;809;alle;person;.;
befolkning_opprinnelsesland;2015;02;811;alle;person;:;
befolkning_opprinnelsesland;2015;02;812;alle;person;.;
befolkning_opprinnelsesland;2015;02;813;alle;person;.;
befolkning_opprinnelsesland;2015;02;814;alle;person;.;
befolkning_opprinnelsesland;2015;02;815;alle;person;.;
befolkning_opprinnelsesland;2015;02;816;alle;person;.;
befolkning_opprinnelsesland;2015;02;817;alle;person;.;
befolkning_opprinnelsesland;2015;02;818;alle;person;.;
befolkning_opprinnelsesland;2015;02;819;alle;person;.;
befolkning_opprinnelsesland;2015;02;820;alle;person;:;
befolkning_opprinnelsesland;2015;02;821;alle;person;.;
befolkning_opprinnelsesland;2015;02;822;alle;person;.;
befolkning_opprinnelsesland;2015;02;826;alle;person;.;
